accelerator,job_duration,fit_duration,test_duration,model,dataset,dataset.category,dataset.train_batch_size,dataset.eval_batch_size,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score,folder_datetime
cpu,123.93928790092468,78.20953822135925,45.72474646568298,padim,mvtecad,carpet,1,1,0.8735007643699646,0.8265306353569031,0.9587011337280272,0.4738125503063202,2025-05-13 11:31:57
cpu,123.93928790092468,78.20953822135925,45.72474646568298,padim,mvtecad,hazelnut,1,1,0.8735007643699646,0.8265306353569031,0.9587011337280272,0.4738125503063202,2025-05-13 11:31:55
cpu,123.93928790092468,78.20953822135925,45.72474646568298,padim,mvtecad,metal_nut,1,1,0.8735007643699646,0.8265306353569031,0.9587011337280272,0.4738125503063202,2025-05-13 11:31:56
cpu,112.07082200050354,68.67255735397339,43.39101982116699,padim,mvtecad,cable,1,1,0.846233069896698,0.8383838534355164,0.9454272985458374,0.4253731667995453,2025-05-13 11:18:41
